"Date" "Slevel_ft" "Slevel_m" "Sarea_m2" "Svol_m3" "Nlevel_ft" "Nlevel_m" "Narea_m2" "Nvol_m3" "TotalArea_m2" "TotalVol_m3"
2008-01-12 4195.33 1278.736584 1865698544.288 8718346551.44024 4194.65 1278.52932 1109066630.24258 4837525541.60084 2974765174.53058 13555872093.0411
2008-01-13 4195.33 1278.736584 1865698544.288 8718346551.44024 4194.66 1278.532368 1110388258.43762 4840875518.63644 2976086802.72562 13559222070.0767
2008-01-14 4195.32 1278.733536 1864638672.13566 8712685395.06504 4194.63 1278.523224 1106423373.85279 4830825587.53038 2971062045.98845 13543510982.5954
2008-01-15 4195.46 1278.776208 1879476882.26825 8791941584.31702 4194.84 1278.587232 1134177565.94633 4901175105.27205 3013654448.21458 13693116689.5891
2008-01-16 4195.36 1278.745728 1868878160.74494 8735330020.56543 4194.72 1278.550656 1118318027.60719 4860975380.84831 2987196188.35213 13596305401.4137
2008-01-17 4195.32 1278.733536 1864638672.13566 8712685395.06504 4194.63 1278.523224 1106423373.85279 4830825587.53038 2971062045.98845 13543510982.5954
2008-01-18 4195.31 1278.730488 1863578799.9834 8707024238.69026 4194.64 1278.526272 1107745002.04773 4834175564.56574 2971323802.03113 13541199803.256
2008-01-19 4195.35 1278.74268 1867818288.59268 8729668864.19065 4194.65 1278.52932 1109066630.24258 4837525541.60084 2976884918.83526 13567194405.7915
2008-01-20 4195.36 1278.745728 1868878160.74494 8735330020.56543 4194.68 1278.538464 1113031514.82751 4847575472.70715 2981909675.57245 13582905493.2726
2008-01-21 4195.41 1278.760968 1874177521.50663 8763635802.44143 4194.86 1278.593328 1136820822.33612 4907875059.3425 3010998343.84276 13671510861.7839
2008-01-22 4195.39 1278.754872 1872057777.20204 8752313489.69145 4194.72 1278.550656 1118318027.60719 4860975380.84831 2990375804.80923 13613288870.5398
2008-01-23 4195.4 1278.75792 1873117649.3543 8757974646.06623 4194.7 1278.54456 1115674771.2173 4854275426.77761 2988792420.5716 13612250072.8438
2008-01-24 4195.4 1278.75792 1873117649.3543 8757974646.06623 4194.7 1278.54456 1115674771.2173 4854275426.77761 2988792420.5716 13612250072.8438
2008-01-25 4195.4 1278.75792 1873117649.3543 8757974646.06623 4194.7 1278.54456 1115674771.2173 4854275426.77761 2988792420.5716 13612250072.8438
2008-01-26 4195.4 1278.75792 1873117649.3543 8757974646.06623 4194.7 1278.54456 1115674771.2173 4854275426.77761 2988792420.5716 13612250072.8438
2008-01-27 4195.23 1278.706104 1855099822.76469 8661734987.68865 4194.65 1278.52932 1109066630.24258 4837525541.60084 2964166453.00727 13499260529.2895
2008-01-28 4195.34 1278.739632 1866758416.44034 8724007707.81544 4194.96 1278.623808 1150037104.28548 4941374829.69579 3016795520.72581 13665382537.5112
2008-01-29 4195.35 1278.74268 1867818288.59268 8729668864.19065 4194.79 1278.571992 1127569424.97171 4884425220.09553 2995387713.56439 13614094084.2862
2008-01-30 4195.46 1278.776208 1879476882.26825 8791941584.31702 4194.9 1278.60552 1142107335.11581 4921274967.48367 3021584217.38406 13713216551.8007
2008-01-31 4195.33 1278.736584 1865698544.288 8718346551.44024 4194.71 1278.547608 1116996399.41225 4857625403.81296 2982694943.70025 13575971955.2532
2008-02-01 4195.39 1278.754872 1872057777.20204 8752313489.69145 4194.77 1278.565896 1124926168.58192 4877725266.02508 2996983945.78395 13630038755.7165
2008-02-02 4195.37 1278.748776 1869938032.89736 8740991176.94105 4194.7 1278.54456 1115674771.2173 4854275426.77761 2985612804.11466 13595266603.7187
2008-02-03 4195.33 1278.736584 1865698544.288 8718346551.44024 4194.76 1278.562848 1123604540.38687 4874375288.98947 2989303084.67487 13592721840.4297
2008-02-04 4195.44 1278.770112 1877357137.96357 8780619271.56662 4194.85 1278.59028 1135499194.14128 4904525082.3074 3012856332.10485 13685144353.874
2008-02-05 4195.41 1278.760968 1874177521.50663 8763635802.44143 4194.79 1278.571992 1127569424.97171 4884425220.09553 3001746946.47834 13648061022.537
2008-02-06 4195.42 1278.764016 1875237393.65897 8769296958.81664 4194.84 1278.587232 1134177565.94633 4901175105.27205 3009414959.60531 13670472064.0887
2008-02-07 4195.48 1278.782304 1881596626.57285 8803263897.067 4194.88 1278.599424 1139464078.72601 4914575013.41321 3021060705.29886 13717838910.4802
2008-02-08 4195.41 1278.760968 1874177521.50663 8763635802.44143 4194.84 1278.587232 1134177565.94633 4901175105.27205 3008355087.45297 13664810907.7135
2008-02-09 4195.4 1278.75792 1873117649.3543 8757974646.06623 4194.8 1278.57504 1128891053.16665 4887775197.13089 3002008702.52095 13645749843.1971
2008-02-10 4195.41 1278.760968 1874177521.50663 8763635802.44143 4194.8 1278.57504 1128891053.16665 4887775197.13089 3003068574.67329 13651410999.5723
